Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
Albany International Limited,Lancashire,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Albany Park Nursing Home,Enfield,,,Others,,,,, Skilled Worker,Worker (A rating),20-Dec-17,
Albany Surgery,Newton Abbot,,,Others,,,,, Skilled Worker,Worker (A rating),16-Oct-20,
Albar Capital Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),2-Feb-18,
Albatross CX LTD.,London,,,Advertising,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",15-Feb-21,
Albatross Travel Group Limited,Larkfield,,,Others,,,,, Intra-company Routes,Worker (A rating),10-Nov-16,
ALBEA UK LTD,Colchester,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Apr-19,
Albemarle Asset Management Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),17-Nov-20,
Alberta Investment Management Corporation,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",14-Mar-16,
Albion & East Limited,London,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Albion Brand Communication Ltd,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Albion Capital Group LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),13-Nov-18,
Albion Cosmetics (UK Branch),London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Albion Fire & Security Ltd,London,,,Security,,,,, Skilled Worker,Worker (A rating),13-Nov-13,
Albourne Partners Limited,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Albright Dene Ltd,Newbury,,,Construction,,,,, Skilled Worker,Worker (A rating),4-Jul-15,
ALBYTECH IT SERVICES LTD,Bromley,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),16-Feb-21,
Alchemab Therapeutics Limited,Cambridge,,,Scientific Research,,,,,Skilled Worker,Worker (A rating),31-Aug-21,
Alchemy Software Ltd,Bexleyheath,,,Others,,,,, Skilled Worker,Worker (A rating),7-Mar-19,
Alchemy Web UK Limited,London,,,Software Publishing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-Dec-19,
ALCHEMYBET LTD,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),7-Apr-21,
Alchera Data Technologies Ltd,Cambridge,,,Others,,,,, Skilled Worker,Worker (A rating),10-Apr-19,
Alcis Holdings Limited,Guildford,,,"Public administration, Government",,,,, Skilled Worker,Worker (A rating),29-Apr-20,
ALCO CONTRACTS LIMITED,Wickford,,,Construction,,,,,Skilled Worker,Worker (A rating),2-Mar-21,
Alco Valves Group Limited,Brighouse,,,Others,,,,, Intra-company Routes,Worker (A rating),14-Jan-19,
Alcock Lees Partnership Limited,Norwich,,,Others,,,,, Skilled Worker,Worker (A rating),28-Sep-18,
Alcohol Monitoring Systems Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-May-14,
Alcon Eye Care (UK) Ltd,Camberley,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",8-May-14,
Alcyomics Ltd,Newcastle upon Tyne,,,Social Work,,,,, Skilled Worker,Worker (A rating),16-Apr-18,
Aldeburgh Dental Practice,Aldeburgh,,,Dental,,,,,Skilled Worker,Worker (A rating),21-Apr-21,
Alder Hey Childrens NHS Foundation Trust,Liverpool,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alderley plc,Wotton-under-Edge,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-Sep-13,
Aldermore Group PLC,Manchester,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",12-Apr-19,
Alderton Accountancy Ltd,Ilford,,,Legal,,,,, Skilled Worker,Worker (A rating),21-Aug-19,
Aldi Stores Limited,Atherstone,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Aldia Technologies LTD,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),17-Sep-18,
Aldridge Education,London,,,Others,,,,, Skilled Worker,Worker (A rating),21-Apr-17,
Aldro School Educational Trust Limited,Godalming,,,Education,,,,," Voluntary Workers, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
Aldwych International Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",29-May-18,
Alec Reed Academy,Northolt,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aleford (UK) Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),28-Jan-20,
Al-Emaan Centre,Keston,,,Religious,,,,, T2 Minister of Religion,Worker (A rating),5-Nov-19,
Alert Logic UK LTD,Cardiff,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Sep-14,
Aletheia Anglican Academies Trust,Gravesend,,,Education,,,,, Skilled Worker,Worker (A rating),27-Nov-20,
Alexa Capital Services LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),13-Mar-20,
Alexander & Angell (Farms) Ltd,Gloucester,,,Agriculture,,,,, Skilled Worker,Worker (A rating),15-Jan-20,
Alexander Dennis Limited,Larbert,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Alexander Hughes UK Executive Search Limited,Farnham,,,Others,,,,,Skilled Worker,Worker (A rating),13-Sep-21,
Alexander J MacNeil,Isle of Barra,,,Others,,,,,Skilled Worker,Worker (A rating),18-May-21,
Alexander James and Company Limited,Thames Ditton,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),15-May-15,
Alexander Mann Solutions Limited,London,,,Recruitment,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Alexander Park Homes Limited,Farnborough,,,Social Work,,,,,Skilled Worker,Worker (A rating),19-Aug-21,
Alexander Proudfoot (Europe) Ltd.,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Mar-19,
Alexander Rose Ltd,Burgess Hill,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Alexander Whitley Dance Company,Ipswich,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-17,
Alexandra Road Surgery,Lowestoft,,,Others,,,,, Skilled Worker,Worker (A rating),29-Jul-19,
Alexandra Rose Residential Care Home,Portsmouth,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
Alexandra Steed URBAN Ltd,London,,,Architecture,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Alexandra Surgery,London,,,Dental,,,,, Skilled Worker,Worker (A rating),13-May-19,
Alexion Pharma UK Ltd,Uxbridge,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",15-Nov-19,
Alfa Chemicals Ltd,Bracknell,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),3-Feb-20,
Alfa Energy Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alfa Financial Software Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),1-Jun-20,
Alfa iQ Limited,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),24-Aug-21,
Alfa Laval Ltd,Camberley,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Alfanar,London,,,Social Work,,,,, Skilled Worker,Worker (A rating),30-Oct-13,
Alfred and Victoria Ltd,Birmingham,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alfred H Knight Holdings Ltd,Prescot,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Alfresco Software Limited,Maidenhead,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-May-14,
Alfreton Capital Management Limited,Radlett,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),22-May-18,
Alfriston School,Beaconsfield,,,Education,,,,, Skilled Worker,Worker (A rating),27-Jul-15,
AlgaeCytes Limited,Sandwich,,,Scientific Research,,,,, Skilled Worker,Worker (A rating),26-Jan-17,
ALGAL OMEGA 3 LIMITED,LIVERPOOL,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),1-Jun-16,
Algebris (UK) Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),20-Feb-17,
ALGERIAN EMBASSY,LONDON,,,Others,,,,," Skilled Worker, International Agreements","Worker (A rating),Temporary Worker (A rating)",26-Dec-15,
ALGHAD TV LIMITED,London,,,Radio and Television,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
Algiz Technology Limited,Birmingham,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),14-Jun-17,
Algo Stack Limited,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Algo42 Ltd,Newcastle Upon Tyne,,,Computer Programming,,,,, Intra-company Routes,Worker (A rating),27-Apr-18,
Algolia Limited,London,,,Computer Programming,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",22-Feb-21,
Algomi Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),24-Feb-14,
Algorithmic Strategies (UK) Ltd.,London,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",28-Jul-20,
Algorithms Software UK Ltd,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",26-Mar-15,
Algosec Europe Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),1-Feb-19,
Ali & Co Accountants Limited T/A Ali & Co Accountants,Luton,,,Legal,,,,,Skilled Worker,Worker (A rating),30-Apr-21,
ALI BROTHERS BEDFORD LTD T/A DESHI SPICE,Bedfordshire,,,Food & Accomodation,,,,,Skilled,Worker (A rating),22-Jun-21,
Ali Food and Butchers LTD, Guildford,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
ALI IMPEX UK LTD,LONDON,,,Transportation & Storage,,,,,Skilled Worker,Worker (A rating),9-Mar-21,
Alibaba.com (Europe) Limited,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Oct-14,
Alice SI Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),11-Sep-18,
Alicorn Consulting Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),6-Mar-20,
Alida Solutions Ltd,London,,,Computer Programming,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",28-Jul-21,
Alight Solutions Europe Limited,London,,,Recruitment,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",11-Sep-18,
Align Communications Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
Align Spinal Health Ltd,Stockport,,,Dental,,,,,Skilled Worker,Worker (A rating),30-Jul-21,
Align Technology UK Limited,Solihull,,,Social Work,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",15-Feb-21,
Aligne Technologies Ltd,London,,,Management,,,,,Skilled Worker,Worker (A rating),29-Mar-21,
ALIHAQ TIMBER & ROOFING SUPPLIES LTD,Smethwick,,,Construction,,,,,Skilled Worker,Worker (A rating),18-May-21,
Alimak Group UK Ltd,Rushden,,,Manufacturing,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",29-Apr-21,
Al-Imdaad Foundation UK,BLACKBURN,,,Social Work,,,,, Intra-company Routes,Worker (A rating),6-Dec-19,
Alinda Capital Partners LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),5-Jan-16,
Alinea consulting LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),21-May-19,
Alipay (UK) Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Aug-15,
Alis Spice Limited TA Alis Spice, LLANGEFNI,,,Others,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Alishaan Indian Restaurant,Worthing,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alison Brooks Architects Limited,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alison Hayes (UK) Limited,London,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),11-Sep-15,
Alive Believers Centre,Liverpool,,,Others,,,,, T2 Minister of Religion,Worker (A rating),4-Aug-13,
AlixPartners UK LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Al-Jazeera Satellite Channel Limited,London,,,Video or Music Production,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-May-19,
Al-Khoei Foundation,London,,,Others,,,,," Religious Worker, T2 Minister of Religion, Skilled Worker","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",4-Aug-13,
All Behaviour Consultancy,Windsor,,,Education,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
All Creatures Battersea Ltd,London,,,Vetenary,,,,, Skilled Worker,Worker (A rating),14-Jun-19,
All Eat App Network Technology Incorporated Ltd,Croydon,,,Others,,,,, Skilled Worker,Worker (A rating),1-Feb-19,
All England Netball Association Limited,Loughborough,,,"Arts ,Entertainment",,,,," T2 Sportsperson, Skilled Worker","Worker (A rating),Worker (A rating)",4-Aug-13,
All In All Solutions Limited,Swindon,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),29-Apr-17,
All Market Europe Ltd,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
All Metal Services Limited,Sutton Coldfield,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Nov-20,
All Nations Christian Centre,Wolverhampton,,,Religious,,,,, T2 Minister of Religion,Worker (A rating),4-Aug-13,
All Nations Christian College,WARE,,,Food & Accomodation,,,,," Religious Worker, Voluntary Workers","Temporary Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
All Nations Church,Cardiff,,,Others,,,,," Religious Worker, Voluntary Workers","Temporary Worker (A rating),Temporary Worker (A rating)",10-Oct-13,
All Nations Church Swansea,Swansea,,,Others,,,,," T2 Minister of Religion, Religious Worker, Voluntary Workers","Worker (A rating),Temporary Worker (A rating),Temporary Worker (A rating)",8-Sep-20,
All Nippon Airways Co Ltd,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
ALL NRG Grimsby Ltd,Grimsby,,,Manufacturing,,,,," Intra-company Routes, Skilled Worker","Worker (A rating),Worker (A rating)",30-Dec-20,
All of Us Networks Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),15-Nov-19,
All Pipe Engineering Limited,Northen Ireland,,,Others,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
All Response Media Limited,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
All Saints Academy Dunstable,Dunstable,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
All Saints Catholic Academy Trust,Rickmansworth,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
All Saints Catholic High School,Sheffield,,,Education,,,,, Skilled Worker,Worker (A rating),16-Sep-20,
All Saints Church,Bradford,,,Religious,,,,, Religious Worker,Temporary Worker (A rating),31-Dec-20,
"All Saints Church, Belfast",Belfast,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",30-Dec-20,
All Saints PCC,Crowborough,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),15-Jul-15,
All Saints Peckham,LONDON,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",2-Oct-17,
All Saints Presbyterian Church,Newcastle Upon Tyne,,,Others,,,,,T2 Minister of Religion,Worker (A rating),15-Feb-21,
All Saints Retail Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
All Saints' Trust,Kenton,,,Others,,,,, Skilled Worker,Worker (A rating),4-Mar-16,
All Saints Trust T/A Our Lady of Grace Catholic Infant School,London,,,Others,,,,,Skilled Worker,Worker (A rating),25-Mar-21,
All Seasons Lettings Ltd.,London,,,Real estate,,,,, Skilled Worker,Worker (A rating),29-May-14,
All Souls Church,London,,,Others,,,,," Voluntary Workers, Religious Worker, T2 Minister of Religion","Temporary Worker (A rating),Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
All Sports Whispers Ltd,Milton Keynes,,,Management,,,,, Skilled Worker,Worker (A rating),28-Nov-17,
ALL THINGS CONSIDERED LIMITED,London,,,Video or Music Production,,,,, Creative & Sporting,Temporary Worker (A rating),6-Nov-17,
All World Foods Limited,Edgware,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
All2gether Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),5-Jun-15,
All3Media Limited,London,,,Video or Music Production,,,,,"Creative & Sporting,Skilled Worker,Intra-company Routes","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",15-Feb-21,
Allan Yachting Limited,Gillingham,,,"Arts ,Entertainment",,,,,Skilled Worker,Worker (A rating),20-Aug-21,
Allans the Accountants Limited,Surbiton,,,Legal,,,,,Skilled Worker,Worker (A rating),23-Apr-21,
Allauddin Jewellery Ltd TA Emirates Gold Jewellers,Southall,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Allcures Plc,South Ockendon,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),19-Oct-17,
Allegion (UK) Limited,Birmingham,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-May-14,
Allegis Group Limited,Bracknell,,,Computer Programming,,,,, Intra-company Routes,Worker (A rating),4-Aug-13,
Allegis Group Limited,Bracknell,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
Allegis Services (India) Private Limited - UK branch,Watford,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",31-Jul-20,
Allegory,London,,,Others,,,,,Skilled Worker,Worker (A rating),21-Apr-21,
Allegro Development Europe Ltd,London,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Allegro MicroSystems Europe Limited,Chertsey,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-May-14,
Allen & Overy  Service Company Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Allen and barnfield chemists,Foxhill,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),23-Apr-20,
Allen and Heath Ltd,Penryn,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),25-Feb-16,
Allen Archaeology,Lincoln,,,Construction,,,,,Skilled Worker,Worker (A rating),13-May-21,
ALLEN RIDGE DEVELOPMENTS LIMITED,Hythe,,,Construction,,,,, Skilled Worker,Worker (A rating),17-Mar-17,
Allen Speech & Language Ltd,Heybridge,,,Education,,,,, Skilled Worker,Worker (A rating),31-Oct-17,
Allergan Limited,Marlow,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Allergy Therapeutics,Worthing,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Allestree Christian Fellowship,Derby,,,Others,,,,," Religious Worker, Voluntary Workers","Temporary Worker (A rating),Temporary Worker (A rating)",2-Jul-14,
Alleyn's School Ltd,London,,,Education,,,,,Skilled Worker,Worker (A rating),18-May-21,
Allford Hall Monaghan Morris,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alliance & Cooper Solicitors Limited,"Manchester,",,,Legal,,,,,Skilled Worker,Worker (A rating),16-Jun-21,
Alliance & Reliance Ltd,London,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Alliance Advertising & Marketing Ltd,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),31-May-17,
Alliance Dental Care Limited,Hertfordshire,,,Others,,,,, Skilled Worker,Worker (A rating),19-Jan-16,
ALLIANCE DESIGN UK LTD T/A EDGE CONSULTING ENGINEERS,MANCHESTER,,,Others,,,,, Skilled Worker,Worker (A rating),21-Jun-19,
